2026-07-14 09:37: Experiment log path in: C:\Users\student\paperTest\DHFORMER\experiments\METRLA\20260714093719
2026-07-14 14:34: Train Epoch 11: 320/374 Loss: 4.239221
2026-07-14 14:35: Train Epoch 11: 340/374 Loss: 3.539747
2026-07-14 14:37: Train Epoch 11: 360/374 Loss: 4.607227
2026-07-14 14:38: **********Train Epoch 11: averaged Loss: 4.546503, tf_ratio: 1.000000
2026-07-14 14:39: **********Val Epoch 11: average Loss: 4.582624
2026-07-14 14:39: *********************************Current best model saved!
2026-07-14 14:39: Train Epoch 12: 0/374 Loss: 3.707996
2026-07-14 14:41: Train Epoch 12: 20/374 Loss: 5.502413
2026-07-14 14:42: Train Epoch 12: 40/374 Loss: 5.979976
2026-07-14 14:44: Train Epoch 12: 60/374 Loss: 5.037765
2026-07-14 14:45: Train Epoch 12: 80/374 Loss: 3.891783
2026-07-14 14:47: Train Epoch 12: 100/374 Loss: 4.470942
2026-07-14 14:48: Train Epoch 12: 120/374 Loss: 4.878187
2026-07-14 14:50: Train Epoch 12: 140/374 Loss: 4.995634
2026-07-14 14:51: Train Epoch 12: 160/374 Loss: 3.370355
2026-07-14 14:53: Train Epoch 12: 180/374 Loss: 3.827112
2026-07-14 14:54: Train Epoch 12: 200/374 Loss: 4.395983
2026-07-14 14:56: Train Epoch 12: 220/374 Loss: 5.696608
2026-07-14 14:57: Train Epoch 12: 240/374 Loss: 4.661567
2026-07-14 14:59: Train Epoch 12: 260/374 Loss: 4.114653
2026-07-14 15:00: Train Epoch 12: 280/374 Loss: 4.448154
2026-07-14 15:01: Train Epoch 12: 300/374 Loss: 4.671769
2026-07-14 15:03: Train Epoch 12: 320/374 Loss: 4.169024
2026-07-14 15:04: Train Epoch 12: 340/374 Loss: 4.513614
2026-07-14 15:06: Train Epoch 12: 360/374 Loss: 3.982913
2026-07-14 15:07: **********Train Epoch 12: averaged Loss: 4.543597, tf_ratio: 1.000000
2026-07-14 15:08: **********Val Epoch 12: average Loss: 4.575182
2026-07-14 15:08: *********************************Current best model saved!
2026-07-14 15:08: Train Epoch 13: 0/374 Loss: 5.152453
2026-07-14 15:10: Train Epoch 13: 20/374 Loss: 5.145757
2026-07-14 15:11: Train Epoch 13: 40/374 Loss: 5.721941
2026-07-14 15:13: Train Epoch 13: 60/374 Loss: 4.075763
2026-07-14 15:15: Train Epoch 13: 80/374 Loss: 3.625001
2026-07-14 15:16: Train Epoch 13: 100/374 Loss: 4.632790
2026-07-14 15:18: Train Epoch 13: 120/374 Loss: 4.021664
2026-07-14 15:19: Train Epoch 13: 140/374 Loss: 4.158911
2026-07-14 15:21: Train Epoch 13: 160/374 Loss: 3.188537
2026-07-14 15:22: Train Epoch 13: 180/374 Loss: 5.026784
2026-07-14 15:24: Train Epoch 13: 200/374 Loss: 4.737610
2026-07-14 15:26: Train Epoch 13: 220/374 Loss: 4.032518
2026-07-14 15:27: Train Epoch 13: 240/374 Loss: 3.913288
2026-07-14 15:29: Train Epoch 13: 260/374 Loss: 3.812615
2026-07-14 15:30: Train Epoch 13: 280/374 Loss: 4.091359
2026-07-14 15:32: Train Epoch 13: 300/374 Loss: 4.010515
2026-07-14 15:33: Train Epoch 13: 320/374 Loss: 6.646930
2026-07-14 15:35: Train Epoch 13: 340/374 Loss: 3.846295
2026-07-14 15:36: Train Epoch 13: 360/374 Loss: 4.768424
2026-07-14 15:37: **********Train Epoch 13: averaged Loss: 4.536839, tf_ratio: 1.000000
2026-07-14 15:39: **********Val Epoch 13: average Loss: 4.567564
2026-07-14 15:39: *********************************Current best model saved!
2026-07-14 15:39: Train Epoch 14: 0/374 Loss: 4.839986
2026-07-14 15:40: Train Epoch 14: 20/374 Loss: 5.761859
2026-07-14 15:42: Train Epoch 14: 40/374 Loss: 3.886496
2026-07-14 15:43: Train Epoch 14: 60/374 Loss: 4.858523
2026-07-14 15:45: Train Epoch 14: 80/374 Loss: 4.294033
2026-07-14 15:46: Train Epoch 14: 100/374 Loss: 3.939240
2026-07-14 15:48: Train Epoch 14: 120/374 Loss: 4.068481
2026-07-14 15:49: Train Epoch 14: 140/374 Loss: 4.326567
2026-07-14 15:51: Train Epoch 14: 160/374 Loss: 4.631493
2026-07-14 15:52: Train Epoch 14: 180/374 Loss: 4.228973
2026-07-14 15:54: Train Epoch 14: 200/374 Loss: 4.881403
2026-07-14 15:55: Train Epoch 14: 220/374 Loss: 3.659091
2026-07-14 15:57: Train Epoch 14: 240/374 Loss: 4.160775
2026-07-14 15:59: Train Epoch 14: 260/374 Loss: 4.664775
2026-07-14 16:00: Train Epoch 14: 280/374 Loss: 4.618817
2026-07-14 16:02: Train Epoch 14: 300/374 Loss: 4.118438
2026-07-14 16:03: Train Epoch 14: 320/374 Loss: 5.504801
2026-07-14 16:05: Train Epoch 14: 340/374 Loss: 4.144596
2026-07-14 16:06: Train Epoch 14: 360/374 Loss: 4.750164
2026-07-14 16:07: **********Train Epoch 14: averaged Loss: 4.538049, tf_ratio: 1.000000
2026-07-14 16:09: **********Val Epoch 14: average Loss: 4.578477
2026-07-14 16:09: Train Epoch 15: 0/374 Loss: 4.384446
2026-07-14 16:10: Train Epoch 15: 20/374 Loss: 4.528126
2026-07-14 16:12: Train Epoch 15: 40/374 Loss: 4.596694
2026-07-14 16:14: Train Epoch 15: 60/374 Loss: 4.387550
2026-07-14 16:16: Train Epoch 15: 80/374 Loss: 3.694202
2026-07-14 16:18: Train Epoch 15: 100/374 Loss: 4.141313
2026-07-14 16:19: Train Epoch 15: 120/374 Loss: 3.967764
2026-07-14 16:20: Train Epoch 15: 140/374 Loss: 4.061397
2026-07-14 16:21: Train Epoch 15: 160/374 Loss: 3.995914
2026-07-14 16:23: Train Epoch 15: 180/374 Loss: 3.891041
2026-07-14 16:24: Train Epoch 15: 200/374 Loss: 4.549920
2026-07-14 16:25: Train Epoch 15: 220/374 Loss: 4.935947
2026-07-14 16:27: Train Epoch 15: 240/374 Loss: 4.970545
2026-07-14 16:28: Train Epoch 15: 260/374 Loss: 5.613580
2026-07-14 16:29: Train Epoch 15: 280/374 Loss: 3.752314
2026-07-14 16:31: Train Epoch 15: 300/374 Loss: 4.138991
2026-07-14 16:32: Train Epoch 15: 320/374 Loss: 3.696021
2026-07-14 16:33: Train Epoch 15: 340/374 Loss: 4.404915
2026-07-14 16:35: Train Epoch 15: 360/374 Loss: 4.971312
2026-07-14 16:36: **********Train Epoch 15: averaged Loss: 4.538402, tf_ratio: 1.000000
2026-07-14 16:37: **********Val Epoch 15: average Loss: 4.583349
2026-07-14 16:37: Total training time: 419.8513min, best loss: 4.567564
2026-07-14 16:37: Saving current best model to C:\Users\student\paperTest\DHFORMER\experiments\METRLA\20260714093719\best_model.pth
2026-07-14 16:39: Horizon 01, MAE: 2.72, RMSE: 6.73, MAPE: 6.3554%, R2: 0.9128
