2026-07-18 09:31: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260718093150
2026-07-18 19:57: Train Epoch 9: 240/374 Loss: 0.215820
2026-07-18 19:59: Train Epoch 9: 260/374 Loss: 0.190987
2026-07-18 20:00: Train Epoch 9: 280/374 Loss: 0.293756
2026-07-18 20:02: Train Epoch 9: 300/374 Loss: 0.216424
2026-07-18 20:04: Train Epoch 9: 320/374 Loss: 0.200097
2026-07-18 20:05: Train Epoch 9: 340/374 Loss: 0.250198
2026-07-18 20:07: Train Epoch 9: 360/374 Loss: 0.217049
2026-07-18 20:08: **********Train Epoch 9: averaged Loss: 0.223894, tf_ratio: 1.000000
2026-07-18 20:10: **********Val Epoch 9: average Loss: 0.225439
2026-07-18 20:10: *********************************Current best model saved!
2026-07-18 20:10: Train Epoch 10: 0/374 Loss: 0.193776
2026-07-18 20:11: Train Epoch 10: 20/374 Loss: 0.217562
2026-07-18 20:13: Train Epoch 10: 40/374 Loss: 0.249637
2026-07-18 20:15: Train Epoch 10: 60/374 Loss: 0.206896
2026-07-18 20:16: Train Epoch 10: 80/374 Loss: 0.247759
2026-07-18 20:18: Train Epoch 10: 100/374 Loss: 0.211439
2026-07-18 20:20: Train Epoch 10: 120/374 Loss: 0.186113
2026-07-18 20:21: Train Epoch 10: 140/374 Loss: 0.190151
2026-07-18 20:23: Train Epoch 10: 160/374 Loss: 0.234664
2026-07-18 20:25: Train Epoch 10: 180/374 Loss: 0.187080
2026-07-18 20:26: Train Epoch 10: 200/374 Loss: 0.205618
2026-07-18 20:28: Train Epoch 10: 220/374 Loss: 0.203903
2026-07-18 20:29: Train Epoch 10: 240/374 Loss: 0.280410
2026-07-18 20:30: Train Epoch 10: 260/374 Loss: 0.191235
2026-07-18 20:32: Train Epoch 10: 280/374 Loss: 0.259815
2026-07-18 20:34: Train Epoch 10: 300/374 Loss: 0.169788
2026-07-18 20:35: Train Epoch 10: 320/374 Loss: 0.274035
2026-07-18 20:37: Train Epoch 10: 340/374 Loss: 0.253929
2026-07-18 20:39: Train Epoch 10: 360/374 Loss: 0.187755
2026-07-18 20:40: **********Train Epoch 10: averaged Loss: 0.223991, tf_ratio: 1.000000
2026-07-18 20:41: **********Val Epoch 10: average Loss: 0.225253
2026-07-18 20:41: *********************************Current best model saved!
2026-07-18 20:41: Train Epoch 11: 0/374 Loss: 0.269833
2026-07-18 20:43: Train Epoch 11: 20/374 Loss: 0.271710
2026-07-18 20:45: Train Epoch 11: 40/374 Loss: 0.203741
2026-07-18 20:46: Train Epoch 11: 60/374 Loss: 0.175858
2026-07-18 20:48: Train Epoch 11: 80/374 Loss: 0.273744
2026-07-18 20:50: Train Epoch 11: 100/374 Loss: 0.268346
2026-07-18 20:52: Train Epoch 11: 120/374 Loss: 0.309939
2026-07-18 20:53: Train Epoch 11: 140/374 Loss: 0.217039
2026-07-18 20:55: Train Epoch 11: 160/374 Loss: 0.242113
2026-07-18 20:57: Train Epoch 11: 180/374 Loss: 0.226962
2026-07-18 20:59: Train Epoch 11: 200/374 Loss: 0.205540
2026-07-18 21:00: Train Epoch 11: 220/374 Loss: 0.241655
2026-07-18 21:02: Train Epoch 11: 240/374 Loss: 0.220932
2026-07-18 21:04: Train Epoch 11: 260/374 Loss: 0.242548
2026-07-18 21:05: Train Epoch 11: 280/374 Loss: 0.279560
2026-07-18 21:07: Train Epoch 11: 300/374 Loss: 0.190359
2026-07-18 21:09: Train Epoch 11: 320/374 Loss: 0.251221
2026-07-18 21:10: Train Epoch 11: 340/374 Loss: 0.240132
2026-07-18 21:12: Train Epoch 11: 360/374 Loss: 0.182438
2026-07-18 21:13: **********Train Epoch 11: averaged Loss: 0.223887, tf_ratio: 1.000000
2026-07-18 21:14: **********Val Epoch 11: average Loss: 0.225104
2026-07-18 21:14: *********************************Current best model saved!
2026-07-18 21:14: Train Epoch 12: 0/374 Loss: 0.204781
