2026-07-12 21:55: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260712215506
2026-07-13 01:31: Train Epoch 10: 340/374 Loss: 4.468035
2026-07-13 01:33: Train Epoch 10: 360/374 Loss: 3.572019
2026-07-13 01:35: **********Train Epoch 10: averaged Loss: 4.523816, tf_ratio: 1.000000
2026-07-13 01:36: **********Val Epoch 10: average Loss: 4.576994
2026-07-13 01:36: *********************************Current best model saved!
2026-07-13 01:36: Train Epoch 11: 0/374 Loss: 5.577446
2026-07-13 01:37: Train Epoch 11: 20/374 Loss: 5.070361
2026-07-13 01:39: Train Epoch 11: 40/374 Loss: 5.190371
2026-07-13 05:55: Train Epoch 11: 60/374 Loss: 4.137161
2026-07-13 05:55: Train Epoch 11: 80/374 Loss: 4.705097
2026-07-13 05:57: Train Epoch 11: 100/374 Loss: 3.976147
2026-07-13 05:58: Train Epoch 11: 120/374 Loss: 3.771580
2026-07-13 05:59: Train Epoch 11: 140/374 Loss: 4.096279
2026-07-13 06:00: Train Epoch 11: 160/374 Loss: 4.733801
2026-07-13 06:01: Train Epoch 11: 180/374 Loss: 4.675139
2026-07-13 06:02: Train Epoch 11: 200/374 Loss: 4.585905
2026-07-13 06:03: Train Epoch 11: 220/374 Loss: 5.033345
2026-07-13 06:04: Train Epoch 11: 240/374 Loss: 4.779302
2026-07-13 06:05: Train Epoch 11: 260/374 Loss: 4.109808
2026-07-13 06:06: Train Epoch 11: 280/374 Loss: 3.774169
2026-07-13 06:07: Train Epoch 11: 300/374 Loss: 5.064027
2026-07-13 06:07: Train Epoch 11: 320/374 Loss: 4.234525
2026-07-13 06:08: Train Epoch 11: 340/374 Loss: 4.438785
2026-07-13 06:09: Train Epoch 11: 360/374 Loss: 4.018919
2026-07-13 06:10: **********Train Epoch 11: averaged Loss: 4.511178, tf_ratio: 1.000000
2026-07-13 06:10: **********Val Epoch 11: average Loss: 4.570644
2026-07-13 06:10: *********************************Current best model saved!
2026-07-13 06:11: Train Epoch 12: 0/374 Loss: 3.882694
2026-07-13 06:11: Train Epoch 12: 20/374 Loss: 4.752850
2026-07-13 06:12: Train Epoch 12: 40/374 Loss: 4.301639
2026-07-13 06:13: Train Epoch 12: 60/374 Loss: 4.429233
2026-07-13 06:14: Train Epoch 12: 80/374 Loss: 4.852332
2026-07-13 06:15: Train Epoch 12: 100/374 Loss: 4.180194
2026-07-13 06:16: Train Epoch 12: 120/374 Loss: 4.253315
2026-07-13 06:17: Train Epoch 12: 140/374 Loss: 5.137439
2026-07-13 06:18: Train Epoch 12: 160/374 Loss: 5.088471
2026-07-13 06:19: Train Epoch 12: 180/374 Loss: 4.005648
2026-07-13 06:20: Train Epoch 12: 200/374 Loss: 5.400591
2026-07-13 06:21: Train Epoch 12: 220/374 Loss: 5.025336
2026-07-13 06:22: Train Epoch 12: 240/374 Loss: 4.345369
2026-07-13 06:23: Train Epoch 12: 260/374 Loss: 4.175534
2026-07-13 06:24: Train Epoch 12: 280/374 Loss: 3.406703
2026-07-13 06:25: Train Epoch 12: 300/374 Loss: 5.739587
2026-07-13 06:26: Train Epoch 12: 320/374 Loss: 4.426877
2026-07-13 06:27: Train Epoch 12: 340/374 Loss: 3.829605
2026-07-13 06:28: Train Epoch 12: 360/374 Loss: 3.404357
2026-07-13 06:29: **********Train Epoch 12: averaged Loss: 4.508615, tf_ratio: 1.000000
2026-07-13 06:30: **********Val Epoch 12: average Loss: 4.561035
2026-07-13 06:30: *********************************Current best model saved!
2026-07-13 06:30: Train Epoch 13: 0/374 Loss: 3.885099
2026-07-13 06:31: Train Epoch 13: 20/374 Loss: 4.588739
2026-07-13 06:32: Train Epoch 13: 40/374 Loss: 4.160704
2026-07-13 06:33: Train Epoch 13: 60/374 Loss: 5.425222
2026-07-13 06:34: Train Epoch 13: 80/374 Loss: 3.718244
2026-07-13 06:34: Train Epoch 13: 100/374 Loss: 3.887314
2026-07-13 06:35: Train Epoch 13: 120/374 Loss: 4.098881
2026-07-13 06:36: Train Epoch 13: 140/374 Loss: 5.613718
2026-07-13 06:37: Train Epoch 13: 160/374 Loss: 5.558555
2026-07-13 06:38: Train Epoch 13: 180/374 Loss: 3.617860
2026-07-13 06:39: Train Epoch 13: 200/374 Loss: 5.131797
2026-07-13 06:40: Train Epoch 13: 220/374 Loss: 4.665593
2026-07-13 06:41: Train Epoch 13: 240/374 Loss: 3.615663
2026-07-13 06:42: Train Epoch 13: 260/374 Loss: 4.039312
2026-07-13 06:43: Train Epoch 13: 280/374 Loss: 4.274108
2026-07-13 06:44: Train Epoch 13: 300/374 Loss: 4.479160
